id,label,geonames/0/label,geonames/0/uri,geonames/0/superclass_uri,wordnet/labelsense,wordnet/labelsense_n,wordnet/synsets/0/uri,wordnet/synsets/0/tagcount,wordnet/synsets/0/superclass_uri,dbpedia/0/label,dbpedia/0/uri,dbpedia/0/superclass_uri,wordnet/synsets/1/uri,wordnet/synsets/1/tagcount,wordnet/synsets/1/superclass_uri,wordnet/synsets/2/uri,wordnet/synsets/2/tagcount,wordnet/synsets/2/superclass_uri,geonames/1/label,geonames/1/uri,geonames/1/superclass_uri,geonames/2/label,geonames/2/uri,geonames/2/superclass_uri,wordnet/synsets/3/uri,wordnet/synsets/3/tagcount,wordnet/synsets/3/superclass_uri,wordnet/synsets/4/uri,wordnet/synsets/4/tagcount,wordnet/synsets/4/superclass_uri,dbpedia/1/label,dbpedia/1/uri,dbpedia/1/superclass_uri
pv31,agricultural school,agricultural school,http://www.geonames.org/ontology#S.SCHA,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv32,airbase,airbase,http://www.geonames.org/ontology#S.AIRB,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv33,airfield,airfield,http://www.geonames.org/ontology#S.AIRF,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv34,airport,airport,http://www.geonames.org/ontology#S.AIRP,http://www.geonames.org/ontology#S,,,,,,airport,http://dbpedia.org/ontology/Airport,http://dbpedia.org/ontology/Infrastructure,,,,,,,,,,,,,,,,,,,,,
pv35,alcazar,,,,http://wordnet-rdf.princeton.edu/wn31/alcazar-n,1,http://wordnet-rdf.princeton.edu/wn31/102698486-n,0,http://wordnet-rdf.princeton.edu/wn31/103883542-n,,,,,,,,,,,,,,,,,,,,,,,,
pv36,alehouse,,,,http://wordnet-rdf.princeton.edu/wn31/alehouse-n,1,http://wordnet-rdf.princeton.edu/wn31/102699024-n,0,http://wordnet-rdf.princeton.edu/wn31/104024793-n,,,,,,,,,,,,,,,,,,,,,,,,
pv37,alluvial flat,,,,http://wordnet-rdf.princeton.edu/wn31/alluvial+flat-n,1,http://wordnet-rdf.princeton.edu/wn31/109216429-n,0,http://wordnet-rdf.princeton.edu/wn31/109304317-n,,,,,,,,,,,,,,,,,,,,,,,,
pv38,alluvial plain,,,,http://wordnet-rdf.princeton.edu/wn31/alluvial+plain-n,1,http://wordnet-rdf.princeton.edu/wn31/109216429-n,0,http://wordnet-rdf.princeton.edu/wn31/109304317-n,,,,,,,,,,,,,,,,,,,,,,,,
pv39,alp,,,,http://wordnet-rdf.princeton.edu/wn31/alp-n,1,http://wordnet-rdf.princeton.edu/wn31/109216583-n,0,http://wordnet-rdf.princeton.edu/wn31/109382700-n,,,,,,,,,,,,,,,,,,,,,,,,
pv40,alpine glacier,,,,http://wordnet-rdf.princeton.edu/wn31/Alpine+glacier-n,1,http://wordnet-rdf.princeton.edu/wn31/109217105-n,0,http://wordnet-rdf.princeton.edu/wn31/109312237-n,,,,,,,,,,,,,,,,,,,,,,,,
pv41,alpine type of glacier,,,,http://wordnet-rdf.princeton.edu/wn31/Alpine+type+of+glacier-n,1,http://wordnet-rdf.princeton.edu/wn31/109217105-n,0,http://wordnet-rdf.princeton.edu/wn31/109312237-n,,,,,,,,,,,,,,,,,,,,,,,,
pv42,ambiance,,,,http://wordnet-rdf.princeton.edu/wn31/ambiance-n,2,http://wordnet-rdf.princeton.edu/wn31/108511143-n,0,http://wordnet-rdf.princeton.edu/wn31/108584764-n,,,,,,,,,,,,,,,,,,,,,,,,
pv43,ambience,,,,http://wordnet-rdf.princeton.edu/wn31/ambience-n,2,http://wordnet-rdf.princeton.edu/wn31/108511143-n,0,http://wordnet-rdf.princeton.edu/wn31/108584764-n,,,,,,,,,,,,,,,,,,,,,,,,
pv44,amphitheater,amphitheater,http://www.geonames.org/ontology#S.AMTH,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv45,amusement park,amusement park,http://www.geonames.org/ontology#L.AMUS,http://www.geonames.org/ontology#L,http://wordnet-rdf.princeton.edu/wn31/amusement+park-n,1,http://wordnet-rdf.princeton.edu/wn31/108511241-n,0,http://wordnet-rdf.princeton.edu/wn31/108632949-n,,,,,,,,,,,,,,,,,,,,,,,,
pv46,anabranch,anabranch,http://www.geonames.org/ontology#H.STMA,http://www.geonames.org/ontology#H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv47,anchorage,anchorage,http://www.geonames.org/ontology#H.ANCH,http://www.geonames.org/ontology#H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv48,ancient road,ancient road,http://www.geonames.org/ontology#R.RDA,http://www.geonames.org/ontology#R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv49,ancient site,ancient site,http://www.geonames.org/ontology#S.ANS,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv50,ancient wall,ancient wall,http://www.geonames.org/ontology#S.WALLA,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv51,anthill,,,,http://wordnet-rdf.princeton.edu/wn31/anthill-n,1,http://wordnet-rdf.princeton.edu/wn31/109221979-n,1,http://wordnet-rdf.princeton.edu/wn31/109349568-n,,,,,,,,,,,,,,,,,,,,,,,,
pv52,apartment building,,,,http://wordnet-rdf.princeton.edu/wn31/apartment+building-n,1,http://wordnet-rdf.princeton.edu/wn31/102729606-n,3,http://wordnet-rdf.princeton.edu/wn31/102916498-n,,,,,,,,,,,,,,,,,,,,,,,,
pv53,apartment house,,,,http://wordnet-rdf.princeton.edu/wn31/apartment+house-n,1,http://wordnet-rdf.princeton.edu/wn31/102729606-n,1,http://wordnet-rdf.princeton.edu/wn31/102916498-n,,,,,,,,,,,,,,,,,,,,,,,,
pv54,apiary,,,,http://wordnet-rdf.princeton.edu/wn31/apiary-n,1,http://wordnet-rdf.princeton.edu/wn31/102730351-n,0,http://wordnet-rdf.princeton.edu/wn31/104194590-n,,,,,,,,,,,,,,,,,,,,,,,,
pv55,apple orchard,,,,http://wordnet-rdf.princeton.edu/wn31/apple+orchard-n,1,http://wordnet-rdf.princeton.edu/wn31/102732699-n,0,http://wordnet-rdf.princeton.edu/wn31/103468764-n,,,,,,,,,,,,,,,,,,,,,,,,
pv56,apron,apron,http://www.geonames.org/ontology#U.APNU,http://www.geonames.org/ontology#U,http://wordnet-rdf.princeton.edu/wn31/apron-n,4,http://wordnet-rdf.princeton.edu/wn31/108513344-n,0,http://wordnet-rdf.princeton.edu/wn31/108668822-n,,,,,,,,,,,,,,,,,,,,,,,,
pv57,aquaculture facility,aquaculture facility,http://www.geonames.org/ontology#S.AQC,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv58,aqueduct,aqueduct,http://www.geonames.org/ontology#H.CNLA,http://www.geonames.org/ontology#H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv59,aquifer,,,,http://wordnet-rdf.princeton.edu/wn31/aquifer-n,1,http://wordnet-rdf.princeton.edu/wn31/109224876-n,0,http://wordnet-rdf.princeton.edu/wn31/109310874-n,,,,,,,,,,,,,,,,,,,,,,,,
pv60,arch,arch,http://www.geonames.org/ontology#S.ARCH,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,arch,http://www.geonames.org/ontology#U.ARCU,http://www.geonames.org/ontology#U,,,,,,,,,,,,
pv61,archeological site,,,,http://wordnet-rdf.princeton.edu/wn31/archeological+site-n,1,http://wordnet-rdf.princeton.edu/wn31/108567651-n,0,http://wordnet-rdf.princeton.edu/wn31/108668822-n,,,,,,,,,,,,,,,,,,,,,,,,
pv62,archipelago,,,,http://wordnet-rdf.princeton.edu/wn31/archipelago-n,1,http://wordnet-rdf.princeton.edu/wn31/109226715-n,0,http://wordnet-rdf.princeton.edu/wn31/109357302-n,,,,,,,,,,,,,,,,,,,,,,,,
pv63,architectural structure,,,,,,,,,architectural structure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,,,,,,,,,,,,,,,,,,,,,
pv64,architecture,,,,http://wordnet-rdf.princeton.edu/wn31/architecture-n,4,http://wordnet-rdf.princeton.edu/wn31/102737730-n,3,http://wordnet-rdf.princeton.edu/wn31/102916498-n,,,,,,,,,,,,,,,,,,,,,,,,
pv65,arctic land,arctic land,http://www.geonames.org/ontology#L.LAND,http://www.geonames.org/ontology#L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv66,area,area,http://www.geonames.org/ontology#L.AREA,http://www.geonames.org/ontology#L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv67,arena,,,,http://wordnet-rdf.princeton.edu/wn31/arena-n,4,http://wordnet-rdf.princeton.edu/wn31/102739516-n,0,http://wordnet-rdf.princeton.edu/wn31/108588287-n,arena,http://dbpedia.org/ontology/Arena,http://dbpedia.org/ontology/Building,,,,,,,,,,,,,,,,,,,,,
pv68,arena theater,,,,http://wordnet-rdf.princeton.edu/wn31/arena+theater-n,1,http://wordnet-rdf.princeton.edu/wn31/102739650-n,0,http://wordnet-rdf.princeton.edu/wn31/104424944-n,,,,,,,,,,,,,,,,,,,,,,,,
pv69,arete,,,,http://wordnet-rdf.princeton.edu/wn31/arete-n,1,http://wordnet-rdf.princeton.edu/wn31/109228397-n,0,http://wordnet-rdf.princeton.edu/wn31/109432630-n,,,,,,,,,,,,,,,,,,,,,,,,
pv70,arroyo,,,,http://wordnet-rdf.princeton.edu/wn31/arroyo-n,1,http://wordnet-rdf.princeton.edu/wn31/109229784-n,3,http://wordnet-rdf.princeton.edu/wn31/109323212-n,,,,,,,,,,,,,,,,,,,,,,,,
pv71,arrugado,arrugado,http://www.geonames.org/ontology#U.ARRU,http://www.geonames.org/ontology#U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv72,art school,,,,http://wordnet-rdf.princeton.edu/wn31/art+school-n,1,http://wordnet-rdf.princeton.edu/wn31/102749983-n,6,http://wordnet-rdf.princeton.edu/wn31/103096770-n,,,,,,,,,,,,,,,,,,,,,,,,
pv73,artificial island,artificial island,http://www.geonames.org/ontology#T.ISLF,http://www.geonames.org/ontology#T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv74,artificial lake,,,,http://wordnet-rdf.princeton.edu/wn31/artificial+lake-n,1,http://wordnet-rdf.princeton.edu/wn31/104085859-n,1,http://wordnet-rdf.princeton.edu/wn31/109351810-n,,,,,,,,,,,,,,,,,,,,,,,,
pv75,artillery range,artillery range,http://www.geonames.org/ontology#L.RNGA,http://www.geonames.org/ontology#L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv76,ascent,,,,http://wordnet-rdf.princeton.edu/wn31/ascent-n,3,http://wordnet-rdf.princeton.edu/wn31/109229873-n,0,http://wordnet-rdf.princeton.edu/wn31/109460358-n,,,,,,,,,,,,,,,,,,,,,,,,
pv77,asparagus bed,,,,http://wordnet-rdf.princeton.edu/wn31/asparagus+bed-n,1,http://wordnet-rdf.princeton.edu/wn31/102751093-n,0,http://wordnet-rdf.princeton.edu/wn31/102822609-n,,,,,,,,,,,,,,,,,,,,,,,,
pv78,asphalt lake,asphalt lake,http://www.geonames.org/ontology#T.ASPH,http://www.geonames.org/ontology#T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv79,astronomical station,astronomical station,http://www.geonames.org/ontology#S.ASTR,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv80,asylum,asylum,http://www.geonames.org/ontology#S.ASYL,http://www.geonames.org/ontology#S,http://wordnet-rdf.princeton.edu/wn31/asylum-n,2,http://wordnet-rdf.princeton.edu/wn31/103752065-n,0,http://wordnet-rdf.princeton.edu/wn31/103545775-n,,,,,,,,,,,,,,,,,,,,,,,,
pv81,athletic field,athletic field,http://www.geonames.org/ontology#S.ATHF,http://www.geonames.org/ontology#S,http://wordnet-rdf.princeton.edu/wn31/athletic+field-n,1,http://wordnet-rdf.princeton.edu/wn31/108588287-n,0,http://wordnet-rdf.princeton.edu/wn31/108691133-n,,,,,,,,,,,,,,,,,,,,,,,,
pv82,atoll,atoll(s),http://www.geonames.org/ontology#T.ATOL,http://www.geonames.org/ontology#T,http://wordnet-rdf.princeton.edu/wn31/atoll-n,1,http://wordnet-rdf.princeton.edu/wn31/109233769-n,0,http://wordnet-rdf.princeton.edu/wn31/109279385-n,atoll,http://dbpedia.org/ontology/Atoll,http://dbpedia.org/ontology/Island,,,,,,,,,,,,,,,,,,,,,
pv83,atomic center,atomic center,http://www.geonames.org/ontology#S.CTRA,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv84,auberge,,,,http://wordnet-rdf.princeton.edu/wn31/auberge-n,1,http://wordnet-rdf.princeton.edu/wn31/103546876-n,0,http://wordnet-rdf.princeton.edu/wn31/103547513-n,,,,,,,,,,,,,,,,,,,,,,,,
pv85,automat,,,,http://wordnet-rdf.princeton.edu/wn31/automat-n,2,http://wordnet-rdf.princeton.edu/wn31/102763104-n,0,http://wordnet-rdf.princeton.edu/wn31/102939275-n,,,,,,,,,,,,,,,,,,,,,,,,
pv86,automatic teller machine,automatic teller machine,http://www.geonames.org/ontology#S.ATM,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv87,aviary,,,,http://wordnet-rdf.princeton.edu/wn31/aviary-n,1,http://wordnet-rdf.princeton.edu/wn31/102766609-n,1,http://wordnet-rdf.princeton.edu/wn31/102916498-n,,,,,,,,,,,,,,,,,,,,,,,,
pv88,back country,,,,http://wordnet-rdf.princeton.edu/wn31/back+country-n,1,http://wordnet-rdf.princeton.edu/wn31/108519693-n,1,http://wordnet-rdf.princeton.edu/wn31/108662297-n,,,,,,,,,,,,,,,,,,,,,,,,
pv89,backwater,,,,http://wordnet-rdf.princeton.edu/wn31/backwater-n,2,http://wordnet-rdf.princeton.edu/wn31/109235267-n,0,http://wordnet-rdf.princeton.edu/wn31/109248053-n,,,,,,,,,,,,,,,,,,,,,,,,
pv90,backwoods,,,,http://wordnet-rdf.princeton.edu/wn31/backwoods-n,1,http://wordnet-rdf.princeton.edu/wn31/108519693-n,3,http://wordnet-rdf.princeton.edu/wn31/108662297-n,,,,,,,,,,,,,,,,,,,,,,,,
pv91,backyard,,,,http://wordnet-rdf.princeton.edu/wn31/backyard-n,1,http://wordnet-rdf.princeton.edu/wn31/102775202-n,4,http://wordnet-rdf.princeton.edu/wn31/104618236-n,,,,,,,,,,,,,,,,,,,,,,,,
pv92,badlands,badlands,http://www.geonames.org/ontology#T.BDLD,http://www.geonames.org/ontology#T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv93,badminton court,,,,http://wordnet-rdf.princeton.edu/wn31/badminton+court-n,1,http://wordnet-rdf.princeton.edu/wn31/102775440-n,0,http://wordnet-rdf.princeton.edu/wn31/103125142-n,,,,,,,,,,,,,,,,,,,,,,,,
pv94,bagnio,,,,http://wordnet-rdf.princeton.edu/wn31/bagnio-n,2,http://wordnet-rdf.princeton.edu/wn31/104588881-n,0,http://wordnet-rdf.princeton.edu/wn31/102916498-n,,,,http://wordnet-rdf.princeton.edu/wn31/102810060-n,0,http://wordnet-rdf.princeton.edu/wn31/103550330-n,,,,,,,,,,,,,,,,,,
pv95,baling station,baling station,http://www.geonames.org/ontology#S.BSTN,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv96,ball field,,,,http://wordnet-rdf.princeton.edu/wn31/ball+field-n,1,http://wordnet-rdf.princeton.edu/wn31/102783939-n,1,http://wordnet-rdf.princeton.edu/wn31/108588287-n,,,,,,,,,,,,,,,,,,,,,,,,
pv97,baltic republic,,,,http://wordnet-rdf.princeton.edu/wn31/Baltic+Republic-n,1,http://wordnet-rdf.princeton.edu/wn31/109034471-n,0,http://wordnet-rdf.princeton.edu/wn31/108591861-n,,,,,,,,,,,,,,,,,,,,,,,,
pv98,baltic state,,,,http://wordnet-rdf.princeton.edu/wn31/Baltic+State-n,1,http://wordnet-rdf.princeton.edu/wn31/109034471-n,0,http://wordnet-rdf.princeton.edu/wn31/108591861-n,,,,,,,,,,,,,,,,,,,,,,,,
pv99,banana plantation,banana plantation,http://www.geonames.org/ontology#S.ESTB,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv100,bank,bank,http://www.geonames.org/ontology#U.BNKU,http://www.geonames.org/ontology#U,http://wordnet-rdf.princeton.edu/wn31/bank-n,10,http://wordnet-rdf.princeton.edu/wn31/109236341-n, 2,http://wordnet-rdf.princeton.edu/wn31/109432390-n,,,,http://wordnet-rdf.princeton.edu/wn31/109236472-n,25,http://wordnet-rdf.princeton.edu/wn31/109460358-n,http://wordnet-rdf.princeton.edu/wn31/109236735-n, 0,http://wordnet-rdf.princeton.edu/wn31/109460358-n,bank,http://www.geonames.org/ontology#S.BANK,http://www.geonames.org/ontology#S,bank(s),http://www.geonames.org/ontology#H.BNK,http://www.geonames.org/ontology#H,,,,,,,,,
pv101,banks,banks,http://www.geonames.org/ontology#U.BKSU,http://www.geonames.org/ontology#U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv102,bar,bar,http://www.geonames.org/ontology#T.BAR,http://www.geonames.org/ontology#T,http://wordnet-rdf.princeton.edu/wn31/bar-n,14,http://wordnet-rdf.princeton.edu/wn31/109236967-n,0,http://wordnet-rdf.princeton.edu/wn31/109432390-n,,,,,,,,,,,,,,,,,,,,,,,,
pv103,barbecue pit,,,,http://wordnet-rdf.princeton.edu/wn31/barbecue+pit-n,1,http://wordnet-rdf.princeton.edu/wn31/109237176-n,0,http://wordnet-rdf.princeton.edu/wn31/109416001-n,,,,,,,,,,,,,,,,,,,,,,,,
pv104,barn,,,,http://wordnet-rdf.princeton.edu/wn31/barn-n,2,http://wordnet-rdf.princeton.edu/wn31/102796518-n,22,http://wordnet-rdf.princeton.edu/wn31/103327515-n,,,,,,,,,,,,,,,,,,,,,,,,
pv105,barracks,barracks,http://www.geonames.org/ontology#S.BRKS,http://www.geonames.org/ontology#S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv106,barren,,,,http://wordnet-rdf.princeton.edu/wn31/barren-n,1,http://wordnet-rdf.princeton.edu/wn31/108521615-n,0,http://wordnet-rdf.princeton.edu/wn31/108701286-n,,,,,,,,,,,,,,,,,,,,,,,,
pv107,barrier island,,,,http://wordnet-rdf.princeton.edu/wn31/barrier+island-n,1,http://wordnet-rdf.princeton.edu/wn31/109237667-n,0,http://wordnet-rdf.princeton.edu/wn31/109339360-n,,,,,,,,,,,,,,,,,,,,,,,,
pv108,barrier reef,,,,http://wordnet-rdf.princeton.edu/wn31/barrier+reef-n,1,http://wordnet-rdf.princeton.edu/wn31/109237823-n,0,http://wordnet-rdf.princeton.edu/wn31/109279385-n,,,,,,,,,,,,,,,,,,,,,,,,
pv109,barrio,,,,http://wordnet-rdf.princeton.edu/wn31/barrio-n,2,http://wordnet-rdf.princeton.edu/wn31/108693991-n,0,http://wordnet-rdf.princeton.edu/wn31/108693705-n,,,,,,,,,,,,,,,,,,,,,,,,
pv110,baseball diamond,,,,http://wordnet-rdf.princeton.edu/wn31/baseball+diamond-n,1,http://wordnet-rdf.princeton.edu/wn31/102802752-n,0,http://wordnet-rdf.princeton.edu/wn31/108691133-n,,,,,,,,,,,,,,,,,,,,,,,,
pv111,baseball field,,,,http://wordnet-rdf.princeton.edu/wn31/baseball+field-n,1,http://wordnet-rdf.princeton.edu/wn31/102783939-n,0,http://wordnet-rdf.princeton.edu/wn31/108588287-n,,,,,,,,,,,,,,,,,,,,,,,,
pv112,basilica,,,,http://wordnet-rdf.princeton.edu/wn31/basilica-n,2,http://wordnet-rdf.princeton.edu/wn31/102804213-n,0,http://wordnet-rdf.princeton.edu/wn31/104111594-n,,,,http://wordnet-rdf.princeton.edu/wn31/102804350-n,0,http://wordnet-rdf.princeton.edu/wn31/103031762-n,,,,,,,,,,,,,,,,,,
pv113,basin,basin,http://www.geonames.org/ontology#U.BSNU,http://www.geonames.org/ontology#U,http://wordnet-rdf.princeton.edu/wn31/basin-n,5,http://wordnet-rdf.princeton.edu/wn31/108536123-n,0,http://wordnet-rdf.princeton.edu/wn31/108591861-n,,,,http://wordnet-rdf.princeton.edu/wn31/109238344-n,0,http://wordnet-rdf.princeton.edu/wn31/109388914-n,,,,,,,,,,,,,,,,,,
